
('103157', '15401', 'D3', 'Kebidanan - 15401'),
('103157', '48201', 'S1', 'Farmasi - 48201'),
('103157', '48201', 'S1', 'Farmasi - 48201'),
('344001', '14401', 'D3', 'Keperawatan - 14401'),
('344001', '14401', 'D3', 'Keperawatan - 14401'),
('084044', '13461', 'D3', 'Administrasi Rumah Sakit - 13461'),
('084044', '13461', 'D3', 'Administrasi Rumah Sakit - 13461'),
('114064', '54401', 'D3', 'Agrobisnis - 54401'),
('114064', '54401', 'D3', 'Agrobisnis - 54401'),
('104076', '62401', 'D3', 'Akuntansi - 62401'),
('104076', '62401', 'D3', 'Akuntansi - 62401'),
('104076', '62401', 'D3', 'Akuntansi - 62401'),
('034006', '62401', 'D3', 'Akuntansi - 62401'),
('034006', '62401', 'D3', 'Akuntansi - 62401'),
('114036', '62401', 'D3', 'Akuntansi - 62401'),
('114036', '62401', 'D3', 'Akuntansi - 62401'),
('044002', '62401', 'D3', 'Akuntansi - 62401'),
('044002', '62401', 'D3', 'Akuntansi - 62401'),
('034117', '62401', 'D3', 'Akuntansi - 62401'),
('034117', '62401', 'D3', 'Akuntansi - 62401'),
('024018', '62401', 'D3', 'Akuntansi - 62401'),
('024018', '62401', 'D3', 'Akuntansi - 62401'),
('044003', '62401', 'D3', 'Akuntansi - 62401'),
('044003', '62401', 'D3', 'Akuntansi - 62401'),
('034004', '62401', 'D3', 'Akuntansi - 62401'),
('034004', '62401', 'D3', 'Akuntansi - 62401'),
('104141', '57402', 'D3', 'Komputerisasi Akuntansi - 57402'),
('104141', '57401', 'D3', 'Manajemen Informatika - 57401'),
('104141', '57401', 'D3', 'Manajemen Informatika - 57401'),
('024029', '62401', 'D3', 'Akuntansi - 62401'),
('024029', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('024029', '61405', 'D3', 'Manajemen Perusahaan - 61405'),
('024029', '61405', 'D3', 'Manajemen Perusahaan - 61405'),
('104114', '62401', 'D3', 'Akuntansi - 62401'),
('104114', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('104114', '61406', 'D3', 'Keuangan Dan Perbankan - 61406'),
('084001', '62401', 'D3', 'Akuntansi - 62401'),
('084001', '62401', 'D3', 'Akuntansi - 62401'),
('084001', '62401', 'D3', 'Akuntansi - 62401'),
('084001', '62401', 'D3', 'Akuntansi - 62401'),
('064055', '62401', 'D3', 'Akuntansi - 62401'),
('064055', '62401', 'D3', 'Akuntansi - 62401'),
('104005', '62401', 'D3', 'Akuntansi - 62401'),
('104005', '62401', 'D3', 'Akuntansi - 62401'),
('034008', '62401', 'D3', 'Akuntansi - 62401'),
('034008', '62401', 'D3', 'Akuntansi - 62401'),
('044237', '62401', 'D3', 'Akuntansi - 62401'),
('044237', '61406', 'D3', 'Keuangan dan Perbankan - 61406'),
('044237', '61406', 'D3', 'Keuangan dan Perbankan - 61406'),
('044094', '62401', 'D3', 'Akuntansi - 62401'),
('044094', '62401', 'D3', 'Akuntansi - 62401'),
('024010', '62401', 'D3', 'Akuntansi - 62401'),
('024010', '62401', 'D3', 'Akuntansi - 62401'),
('104024', '62401', 'D3', 'Akuntansi - 62401'),
('104024', '62401', 'D3', 'Akuntansi - 62401'),
('064046', '62401', 'D3', 'Akuntansi - 62401'),
('064046', '62401', 'D3', 'Akuntansi - 62401'),
('034009', '62401', 'D3', 'Akuntansi - 62401'),
('034009', '62401', 'D3', 'Akuntansi - 62401'),
('034009', '62401', 'D3', 'Akuntansi - 62401'),
('104117', '62401', 'D3', 'Akuntansi - 62401'),
('104117', '62401', 'D3', 'Akuntansi - 62401'),
('074026', '62401', 'D3', 'Akuntansi - 62401'),
('074026', '62401', 'D3', 'Akuntansi - 62401'),
('014187', '62401', 'D3', 'Akuntansi - 62401'),
('014187', '62401', 'D3', 'Akuntansi - 62401'),
('104018', '62401', 'D3', 'Akuntansi - 62401'),
('104018', '62402', 'D3', 'Perpajakan - 62402'),
('104018', '62402', 'D3', 'Perpajakan - 62402'),
('054025', '62401', 'D3', 'Akuntansi - 62401'),
